// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Munka\Sajat\Benchmarking\bin\Release\net7.0-windows\f8ac28ca-3bed-4e24-89b7-85f1f32640ad
// command took 2.86 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Munka\Sajat\Benchmarking\bin\Release\net7.0-windows\f8ac28ca-3bed-4e24-89b7-85f1f32640ad
// command took 15.5 sec and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Munka\Sajat\Benchmarking\bin\Release\net7.0-windows\f8ac28ca-3bed-4e24-89b7-85f1f32640ad
// command took 2.99 sec and exited with 0
// ***** Done, took 00:00:21 (21.85 sec)   *****
// Found 3 benchmarks:
//   CreationBenchmarks.CreateItemsTheClassicalWay: DefaultJob
//   CreationBenchmarks.CreateItemsWithActivatorGood: DefaultJob
//   CreationBenchmarks.CreateItemsWithActivatorBad: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: CreationBenchmarks.CreateItemsTheClassicalWay: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f8ac28ca-3bed-4e24-89b7-85f1f32640ad.dll --anonymousPipes 1328 1348 --benchmarkName SampleApp.Benchmarking.CreationBenchmarks.CreateItemsTheClassicalWay --job Default --benchmarkId 0 in C:\Munka\Sajat\Benchmarking\bin\Release\net7.0-windows\f8ac28ca-3bed-4e24-89b7-85f1f32640ad\bin\Release\net7.0-Windows7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.8
// Runtime=.NET 7.0.7 (7.0.723.27404), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 322000.00 ns, 322.0000 us/op
WorkloadJitting  1: 1 op, 918800.00 ns, 918.8000 us/op

OverheadJitting  2: 16 op, 293500.00 ns, 18.3438 us/op
WorkloadJitting  2: 16 op, 396100.00 ns, 24.7563 us/op

WorkloadPilot    1: 16 op, 104500.00 ns, 6.5312 us/op
WorkloadPilot    2: 32 op, 181600.00 ns, 5.6750 us/op
WorkloadPilot    3: 64 op, 266700.00 ns, 4.1672 us/op
WorkloadPilot    4: 128 op, 982600.00 ns, 7.6766 us/op
WorkloadPilot    5: 256 op, 1149500.00 ns, 4.4902 us/op
WorkloadPilot    6: 512 op, 2694700.00 ns, 5.2631 us/op
WorkloadPilot    7: 1024 op, 4630700.00 ns, 4.5222 us/op
WorkloadPilot    8: 2048 op, 6460000.00 ns, 3.1543 us/op
WorkloadPilot    9: 4096 op, 12632100.00 ns, 3.0840 us/op
WorkloadPilot   10: 8192 op, 25899300.00 ns, 3.1615 us/op
WorkloadPilot   11: 16384 op, 49070800.00 ns, 2.9950 us/op
WorkloadPilot   12: 32768 op, 91257400.00 ns, 2.7850 us/op
WorkloadPilot   13: 65536 op, 195595400.00 ns, 2.9845 us/op
WorkloadPilot   14: 131072 op, 147644600.00 ns, 1.1264 us/op
WorkloadPilot   15: 262144 op, 257787400.00 ns, 983.3809 ns/op
WorkloadPilot   16: 524288 op, 533499400.00 ns, 1.0176 us/op

OverheadWarmup   1: 524288 op, 1883600.00 ns, 3.5927 ns/op
OverheadWarmup   2: 524288 op, 1774900.00 ns, 3.3854 ns/op
OverheadWarmup   3: 524288 op, 1754400.00 ns, 3.3463 ns/op
OverheadWarmup   4: 524288 op, 1753000.00 ns, 3.3436 ns/op
OverheadWarmup   5: 524288 op, 2128000.00 ns, 4.0588 ns/op
OverheadWarmup   6: 524288 op, 1801400.00 ns, 3.4359 ns/op
OverheadWarmup   7: 524288 op, 1827000.00 ns, 3.4847 ns/op
OverheadWarmup   8: 524288 op, 1833700.00 ns, 3.4975 ns/op
OverheadWarmup   9: 524288 op, 1758500.00 ns, 3.3541 ns/op

OverheadActual   1: 524288 op, 1774900.00 ns, 3.3854 ns/op
OverheadActual   2: 524288 op, 1793200.00 ns, 3.4203 ns/op
OverheadActual   3: 524288 op, 1927500.00 ns, 3.6764 ns/op
OverheadActual   4: 524288 op, 1761700.00 ns, 3.3602 ns/op
OverheadActual   5: 524288 op, 1918600.00 ns, 3.6594 ns/op
OverheadActual   6: 524288 op, 1800900.00 ns, 3.4349 ns/op
OverheadActual   7: 524288 op, 1922700.00 ns, 3.6673 ns/op
OverheadActual   8: 524288 op, 1976400.00 ns, 3.7697 ns/op
OverheadActual   9: 524288 op, 1893200.00 ns, 3.6110 ns/op
OverheadActual  10: 524288 op, 1872300.00 ns, 3.5711 ns/op
OverheadActual  11: 524288 op, 1826700.00 ns, 3.4842 ns/op
OverheadActual  12: 524288 op, 1846800.00 ns, 3.5225 ns/op
OverheadActual  13: 524288 op, 1828600.00 ns, 3.4878 ns/op
OverheadActual  14: 524288 op, 1918200.00 ns, 3.6587 ns/op
OverheadActual  15: 524288 op, 1829500.00 ns, 3.4895 ns/op

WorkloadWarmup   1: 524288 op, 630960500.00 ns, 1.2035 us/op
WorkloadWarmup   2: 524288 op, 580400800.00 ns, 1.1070 us/op
WorkloadWarmup   3: 524288 op, 571243000.00 ns, 1.0896 us/op
WorkloadWarmup   4: 524288 op, 472687800.00 ns, 901.5804 ns/op
WorkloadWarmup   5: 524288 op, 446770500.00 ns, 852.1471 ns/op
WorkloadWarmup   6: 524288 op, 489467300.00 ns, 933.5848 ns/op
WorkloadWarmup   7: 524288 op, 483667800.00 ns, 922.5231 ns/op
WorkloadWarmup   8: 524288 op, 508599200.00 ns, 970.0760 ns/op
WorkloadWarmup   9: 524288 op, 474911600.00 ns, 905.8220 ns/op

// BeforeActualRun
WorkloadActual   1: 524288 op, 479566100.00 ns, 914.6997 ns/op
WorkloadActual   2: 524288 op, 484932700.00 ns, 924.9357 ns/op
